        IC           DEP_A           DEP_S           DEP_C
         1   0.0000000E+00   0.0000000E+00   0.0000000E+00
         2   0.0000000E+00   0.0000000E+00   0.0000000E+00
         3   0.0000000E+00   0.0000000E+00   0.0000000E+00
         4   0.0000000E+00   0.0000000E+00   0.0000000E+00
         5   4.4314060E-01   0.0000000E+00   0.0000000E+00
         6   0.0000000E+00   0.0000000E+00   0.0000000E+00
         7   0.0000000E+00   0.0000000E+00   0.0000000E+00
         8   0.0000000E+00   0.0000000E+00   0.0000000E+00
         9   0.0000000E+00   0.0000000E+00   0.0000000E+00
        10   0.0000000E+00   0.0000000E+00   0.0000000E+00
        11   0.0000000E+00   0.0000000E+00   0.0000000E+00
        12   0.0000000E+00   0.0000000E+00   0.0000000E+00
        13   0.0000000E+00   0.0000000E+00   0.0000000E+00
        14   0.0000000E+00   0.0000000E+00   0.0000000E+00
        15   0.0000000E+00   0.0000000E+00   0.0000000E+00
        16   9.2965617E+04   0.0000000E+00   0.0000000E+00
        17   0.0000000E+00   0.0000000E+00   0.0000000E+00
        18   0.0000000E+00   0.0000000E+00   0.0000000E+00
        19   8.1242151E+00   0.0000000E+00   0.0000000E+00
        20   0.0000000E+00   0.0000000E+00   0.0000000E+00
        21   0.0000000E+00   0.0000000E+00   0.0000000E+00
        22   0.0000000E+00   0.0000000E+00   0.0000000E+00
        23   0.0000000E+00   0.0000000E+00   0.0000000E+00
        24   0.0000000E+00   0.0000000E+00   0.0000000E+00
        25   0.0000000E+00   0.0000000E+00   0.0000000E+00
        26   2.8821379E-01   0.0000000E+00   0.0000000E+00
        27   0.0000000E+00   0.0000000E+00   0.0000000E+00
        28   8.2678738E+00   0.0000000E+00   0.0000000E+00
        29   2.6642181E+01   0.0000000E+00   0.0000000E+00
        30   0.0000000E+00   0.0000000E+00   0.0000000E+00
        31   0.0000000E+00   0.0000000E+00   0.0000000E+00
        32   8.7803639E-02   0.0000000E+00   0.0000000E+00
        33   1.3035615E+01   0.0000000E+00   0.0000000E+00
        34   0.0000000E+00   0.0000000E+00   0.0000000E+00
        35   2.3513225E-01   0.0000000E+00   0.0000000E+00
        36   2.0357395E+01   0.0000000E+00   0.0000000E+00
        37   0.0000000E+00   0.0000000E+00   0.0000000E+00
        38   0.0000000E+00   0.0000000E+00   0.0000000E+00
        39   0.0000000E+00   0.0000000E+00   0.0000000E+00
        40   0.0000000E+00   0.0000000E+00   0.0000000E+00
        41   0.0000000E+00   0.0000000E+00   0.0000000E+00
        42   0.0000000E+00   0.0000000E+00   0.0000000E+00
        43   0.0000000E+00   0.0000000E+00   0.0000000E+00
        44   0.0000000E+00   0.0000000E+00   0.0000000E+00
        45   0.0000000E+00   0.0000000E+00   0.0000000E+00
        46   0.0000000E+00   0.0000000E+00   0.0000000E+00
        47   0.0000000E+00   0.0000000E+00   0.0000000E+00
        48   0.0000000E+00   0.0000000E+00   0.0000000E+00
        49   0.0000000E+00   0.0000000E+00   0.0000000E+00
        50   0.0000000E+00   0.0000000E+00   0.0000000E+00
        51   0.0000000E+00   0.0000000E+00   0.0000000E+00
        52   0.0000000E+00   0.0000000E+00   0.0000000E+00
        53   2.2219194E+01   0.0000000E+00   0.0000000E+00
        54   0.0000000E+00   0.0000000E+00   0.0000000E+00
        55   0.0000000E+00   0.0000000E+00   0.0000000E+00
        56   0.0000000E+00   0.0000000E+00   0.0000000E+00
        57   7.1074050E+05   0.0000000E+00   0.0000000E+00
        58   0.0000000E+00   0.0000000E+00   0.0000000E+00
        59   2.4154892E+02   0.0000000E+00   0.0000000E+00
        60   0.0000000E+00   0.0000000E+00   0.0000000E+00
        61   2.1405545E+04   0.0000000E+00   0.0000000E+00
        62   1.0050326E+06   0.0000000E+00   0.0000000E+00
        63   9.0408713E-01   0.0000000E+00   0.0000000E+00
        64   9.1181325E+05   0.0000000E+00   0.0000000E+00
        65   2.7924500E+01   0.0000000E+00   0.0000000E+00
        66   0.0000000E+00   0.0000000E+00   0.0000000E+00
        67   3.9817400E+05   0.0000000E+00   0.0000000E+00
        68   5.7273606E+05   0.0000000E+00   0.0000000E+00
        69   3.0242867E+01   0.0000000E+00   0.0000000E+00
        70   3.2656503E+05   0.0000000E+00   0.0000000E+00
        71   9.9300789E+01   0.0000000E+00   0.0000000E+00
        72   1.2823915E+05   0.0000000E+00   0.0000000E+00
        73   2.0638969E+05   0.0000000E+00   0.0000000E+00
        74   2.7979900E+04   0.0000000E+00   0.0000000E+00
        75   8.9018530E+06   0.0000000E+00   0.0000000E+00
        76   1.8020502E+06   0.0000000E+00   0.0000000E+00
        77   1.6496771E+07   0.0000000E+00   0.0000000E+00
        78   2.8626852E+06   0.0000000E+00   0.0000000E+00
        79   1.7998320E+05   0.0000000E+00   0.0000000E+00
        80   8.0187135E+06   0.0000000E+00   0.0000000E+00
        81   3.1284495E+06   0.0000000E+00   0.0000000E+00
        82   5.2456750E+02   0.0000000E+00   0.0000000E+00
        83   9.4479869E+05   0.0000000E+00   0.0000000E+00
        84   1.1643499E+07   0.0000000E+00   0.0000000E+00
        85   2.1239132E+06   0.0000000E+00   0.0000000E+00
        86   1.2035026E+07   0.0000000E+00   0.0000000E+00
        87   4.1314998E+06   0.0000000E+00   0.0000000E+00
        88   4.5933755E+06   0.0000000E+00   0.0000000E+00
        89   7.8797110E+06   0.0000000E+00   0.0000000E+00
        90   1.1241120E+06   0.0000000E+00   0.0000000E+00
        91   2.3708108E+06   0.0000000E+00   0.0000000E+00
        92   4.1412694E+05   0.0000000E+00   0.0000000E+00
        93   1.8909834E+06   0.0000000E+00   0.0000000E+00
        94   6.7879531E+04   0.0000000E+00   0.0000000E+00
        95   4.5766153E+05   0.0000000E+00   0.0000000E+00
        96   1.1080070E+06   0.0000000E+00   0.0000000E+00
        97   5.7950191E+04   0.0000000E+00   0.0000000E+00
        98   2.9344172E+05   0.0000000E+00   0.0000000E+00
        99   2.3854397E+05   0.0000000E+00   0.0000000E+00
       100   9.9261725E+05   0.0000000E+00   0.0000000E+00
       101   1.9724961E+05   0.0000000E+00   0.0000000E+00
       102   2.0249641E+05   0.0000000E+00   0.0000000E+00
       103   9.6402695E+04   0.0000000E+00   0.0000000E+00
       104   2.6759485E+06   0.0000000E+00   0.0000000E+00
       105   8.0203588E+05   0.0000000E+00   0.0000000E+00
       106   3.1554738E+05   0.0000000E+00   0.0000000E+00
       107   6.6975888E+05   0.0000000E+00   0.0000000E+00
       108   1.6446042E+05   0.0000000E+00   0.0000000E+00
