        IC           ERO_A           ERO_S           ERO_C
         1   1.7614475E+06   0.0000000E+00   0.0000000E+00
         2   2.3378332E+06   0.0000000E+00   0.0000000E+00
         3   1.0855566E+06   0.0000000E+00   0.0000000E+00
         4   3.0867332E+06   0.0000000E+00   0.0000000E+00
         5   8.6320703E+04   0.0000000E+00   0.0000000E+00
         6   1.7779588E+06   0.0000000E+00   0.0000000E+00
         7   0.0000000E+00   0.0000000E+00   0.0000000E+00
         8   1.1304358E+06   0.0000000E+00   0.0000000E+00
         9   0.0000000E+00   0.0000000E+00   0.0000000E+00
        10   0.0000000E+00   0.0000000E+00   0.0000000E+00
        11   5.6940212E+05   0.0000000E+00   0.0000000E+00
        12   2.8408797E+05   0.0000000E+00   0.0000000E+00
        13   1.5714658E+06   0.0000000E+00   0.0000000E+00
        14   8.9485281E+05   0.0000000E+00   0.0000000E+00
        15   0.0000000E+00   0.0000000E+00   0.0000000E+00
        16   1.9276818E+04   0.0000000E+00   0.0000000E+00
        17   3.1065278E+06   0.0000000E+00   0.0000000E+00
        18   4.0456691E+05   0.0000000E+00   0.0000000E+00
        19   4.1216531E+04   0.0000000E+00   0.0000000E+00
        20   4.6474331E+05   0.0000000E+00   0.0000000E+00
        21   0.0000000E+00   0.0000000E+00   0.0000000E+00
        22   2.5958028E+06   0.0000000E+00   0.0000000E+00
        23   7.0520831E+05   0.0000000E+00   0.0000000E+00
        24   1.8912518E+06   0.0000000E+00   0.0000000E+00
        25   2.3582909E+05   0.0000000E+00   0.0000000E+00
        26   3.8815312E+04   0.0000000E+00   0.0000000E+00
        27   0.0000000E+00   0.0000000E+00   0.0000000E+00
        28   5.1899441E+04   0.0000000E+00   0.0000000E+00
        29   2.1023025E+04   0.0000000E+00   0.0000000E+00
        30   1.6949361E+06   0.0000000E+00   0.0000000E+00
        31   0.0000000E+00   0.0000000E+00   0.0000000E+00
        32   1.5029042E+05   0.0000000E+00   0.0000000E+00
        33   6.3653945E+04   0.0000000E+00   0.0000000E+00
        34   0.0000000E+00   0.0000000E+00   0.0000000E+00
        35   1.1454320E+05   0.0000000E+00   0.0000000E+00
        36   1.3343150E+04   0.0000000E+00   0.0000000E+00
        37   9.1965906E+05   0.0000000E+00   0.0000000E+00
        38   2.0335222E+05   0.0000000E+00   0.0000000E+00
        39   1.2034091E+06   0.0000000E+00   0.0000000E+00
        40   1.4954310E+06   0.0000000E+00   0.0000000E+00
        41   1.2712716E+06   0.0000000E+00   0.0000000E+00
        42   9.6163494E+05   0.0000000E+00   0.0000000E+00
        43   9.8186138E+05   0.0000000E+00   0.0000000E+00
        44   0.0000000E+00   0.0000000E+00   0.0000000E+00
        45   5.8789069E+05   0.0000000E+00   0.0000000E+00
        46   0.0000000E+00   0.0000000E+00   0.0000000E+00
        47   8.3982862E+05   0.0000000E+00   0.0000000E+00
        48   1.2718446E+06   0.0000000E+00   0.0000000E+00
        49   0.0000000E+00   0.0000000E+00   0.0000000E+00
        50   1.2182694E+05   0.0000000E+00   0.0000000E+00
        51   1.8237942E+05   0.0000000E+00   0.0000000E+00
        52   0.0000000E+00   0.0000000E+00   0.0000000E+00
        53   6.5762953E+04   0.0000000E+00   0.0000000E+00
        54   2.5967365E+06   0.0000000E+00   0.0000000E+00
        55   1.0204252E+06   0.0000000E+00   0.0000000E+00
        56   1.7065482E+07   0.0000000E+00   0.0000000E+00
        57   1.3019265E+06   0.0000000E+00   0.0000000E+00
        58   1.7187032E+07   0.0000000E+00   0.0000000E+00
        59   1.4953592E+05   0.0000000E+00   0.0000000E+00
        60   1.1686130E+07   0.0000000E+00   0.0000000E+00
        61   1.9612160E+04   0.0000000E+00   0.0000000E+00
        62   1.4082426E+06   0.0000000E+00   0.0000000E+00
        63   1.5108505E+06   0.0000000E+00   0.0000000E+00
        64   1.7817344E+04   0.0000000E+00   0.0000000E+00
        65   4.3045975E+06   0.0000000E+00   0.0000000E+00
        66   6.7867595E+06   0.0000000E+00   0.0000000E+00
        67   1.5900105E+01   0.0000000E+00   0.0000000E+00
        68   2.0724149E-01   0.0000000E+00   0.0000000E+00
        69   3.5642095E+06   0.0000000E+00   0.0000000E+00
        70   3.5564116E+05   0.0000000E+00   0.0000000E+00
        71   5.1274703E+04   0.0000000E+00   0.0000000E+00
        72   1.4795276E+06   0.0000000E+00   0.0000000E+00
        73   1.4303441E+05   0.0000000E+00   0.0000000E+00
        74   4.9805000E+04   0.0000000E+00   0.0000000E+00
        75   3.7642395E+02   0.0000000E+00   0.0000000E+00
        76   0.0000000E+00   0.0000000E+00   0.0000000E+00
        77   0.0000000E+00   0.0000000E+00   0.0000000E+00
        78   2.2420788E+05   0.0000000E+00   0.0000000E+00
        79   1.5122646E+04   0.0000000E+00   0.0000000E+00
        80   5.3043842E+02   0.0000000E+00   0.0000000E+00
        81   4.2669162E+05   0.0000000E+00   0.0000000E+00
        82   5.3379383E+04   0.0000000E+00   0.0000000E+00
