        IC           SAI_A           SAI_S           SAI_C
         1   1.7626122E+06   6.1488257E+02   8.7732605E+02
         2   2.3394650E+06   8.7826947E+02   1.1873138E+03
         3   1.0856071E+06   1.9014729E+01   2.2160709E+01
         4   3.0877502E+06   5.3777911E+02   7.6327502E+02
         5   9.3091875E+04   6.0765161E+03   1.4020829E+04
         6   1.7805615E+06   1.4948983E+03   1.6576884E+03
         7   0.0000000E+00   0.0000000E+00   0.0000000E+00
         8   1.1403395E+06   8.8077979E+03   1.9892396E+04
         9   0.0000000E+00   0.0000000E+00   0.0000000E+00
        10   0.0000000E+00   0.0000000E+00   0.0000000E+00
        11   5.7113788E+05   1.4053627E+03   3.2644800E+03
        12   2.8617628E+05   1.7761818E+03   4.1827432E+03
        13   1.5717721E+06   1.9705487E+02   3.1515604E+02
        14   8.9918300E+05   2.8838552E+03   3.5285911E+03
        15   0.0000000E+00   0.0000000E+00   0.0000000E+00
        16   7.7725312E+04   7.8700055E+04   1.1614329E+05
        17   3.2076292E+06   5.4279590E+04   7.2348102E+04
        18   4.1136369E+05   3.6133477E+03   5.0667305E+03
        19   4.9582660E+04   7.2306572E+03   1.6044419E+04
        20   4.7064922E+05   5.7758115E+03   1.1769164E+04
        21   0.0000000E+00   0.0000000E+00   0.0000000E+00
        22   2.6214480E+06   1.3717086E+04   1.9188221E+04
        23   7.1929088E+05   7.7604609E+03   9.6099971E+03
        24   1.9065738E+06   8.4623135E+03   1.0564367E+04
        25   2.4042359E+05   2.5918142E+03   3.0246990E+03
        26   4.3265238E+04   4.1165352E+03   9.0903154E+03
        27   0.0000000E+00   0.0000000E+00   0.0000000E+00
        28   5.7101703E+04   4.5190708E+03   9.8222686E+03
        29   3.1458398E+04   9.1799844E+03   2.0839832E+04
        30   1.7119310E+06   9.8139727E+03   1.0668888E+04
        31   0.0000000E+00   0.0000000E+00   0.0000000E+00
        32   1.5450205E+05   3.6558994E+03   8.3453096E+03
        33   7.0694492E+04   6.3027319E+03   1.4496826E+04
        34   0.0000000E+00   0.0000000E+00   0.0000000E+00
        35   1.1752141E+05   2.0599802E+03   4.2347119E+03
        36   1.5922237E+04   2.2186379E+03   5.1568726E+03
        37   9.3308656E+05   1.2369419E+04   2.6747582E+04
        38   2.3841375E+05   3.1698520E+04   7.1749383E+04
        39   1.2283444E+06   1.3573849E+04   1.7838791E+04
        40   1.5006591E+06   3.1035254E+03   3.0811069E+03
        41   1.2931405E+06   1.1685495E+04   1.6165715E+04
        42   9.6448412E+05   2.7840950E+03   5.8851626E+03
        43   9.8333444E+05   8.1952393E+02   1.0091193E+03
        44   0.0000000E+00   0.0000000E+00   0.0000000E+00
        45   5.8989481E+05   1.0207479E+03   1.5745571E+03
        46   0.0000000E+00   0.0000000E+00   0.0000000E+00
        47   8.4342412E+05   2.1002263E+03   2.1859595E+03
        48   1.2747592E+06   1.6719984E+03   1.8492667E+03
        49   0.0000000E+00   0.0000000E+00   0.0000000E+00
        50   1.2316780E+05   1.3343633E+03   2.7340024E+03
        51   1.8762694E+05   4.8348740E+03   1.0326899E+04
        52   0.0000000E+00   0.0000000E+00   0.0000000E+00
        53   7.8506734E+04   6.7587275E+03   9.5447002E+03
        54   2.6582758E+06   3.2849219E+04   4.5452191E+04
        55   1.0290567E+06   4.4638267E+03   5.0083022E+03
        56   1.9842944E+07   2.8031758E+03   3.4075581E+03
        57   3.7019128E+06   8.6473330E+03   1.0808066E+04
        58   1.8144680E+07   2.4918838E+03   3.1649824E+03
        59   2.4706089E+05   3.1795957E+04   6.7474336E+04
        60   1.3931849E+07   1.6939701E+04   1.9061197E+04
        61   1.2846634E+05   2.6552883E+04   4.4040266E+04
        62   3.9650398E+06   3.2007883E+04   3.7658301E+04
        63   1.6935252E+06   2.2028123E+04   2.8424621E+04
        64   1.0088005E+05   2.0449986E+04   4.8104617E+04
        65   6.5222730E+06   8.4622285E+03   1.0564263E+04
        66   7.2213400E+06   3.0149778E+03   3.7912427E+03
        67   2.0362712E+05   5.9537859E+04   1.1514607E+05
        68   2.3442100E+05   1.4032513E+04   2.2373631E+04
        69   5.4395115E+06   1.5733434E+04   2.6085410E+04
        70   9.4331200E+05   7.3807896E+03   1.1935657E+04
        71   6.7623000E+04   7.1038281E+03   1.6573738E+04
        72   4.6648860E+06   5.5730863E+04   7.4473477E+04
        73   3.4954109E+05   8.8095361E+03   1.7534416E+04
